Data;Zamkniecie
12/20/2021;3341,58
12/21/2021;3408,34
12/22/2021;3420,74
12/23/2021;3421,37
12/27/2021;3393,39
12/28/2021;3413,22
12/29/2021;3384,02
12/30/2021;3372,89
12/31/2021;3334,34
1/3/2022;3408,09
1/4/2022;3350,44
1/5/2022;3287,14
1/6/2022;3265,08
1/7/2022;3251,08
1/10/2022;3229,72
1/11/2022;3307,24
1/12/2022;3304,14
1/13/2022;3224,28
1/14/2022;3242,76
1/18/2022;3178,35
1/19/2022;3125,98
1/20/2022;3033,35
1/21/2022;2852,86
1/24/2022;2890,88
1/25/2022;2799,72
1/26/2022;2777,45
1/27/2022;2792,75
1/28/2022;2879,56
1/31/2022;2991,47
2/1/2022;3023,87
2/2/2022;3012,25
2/3/2022;2776,91
2/4/2022;3152,79
2/7/2022;3158,71
2/8/2022;3228,27
2/9/2022;3223,79
2/10/2022;3180,07
2/11/2022;3065,87
2/14/2022;3103,34
2/15/2022;3130,21
2/16/2022;3162,01
2/17/2022;3093,05
2/18/2022;3052,03
2/22/2022;3003,95
2/23/2022;2896,54
2/24/2022;3027,16
2/25/2022;3075,77
2/28/2022;3071,26
3/1/2022;3022,84
